Senegal,2012/2013 D,0.296,54.8,"7,744",54.0,17.8,32.6,41.8,23.6,34.5
Senegal,2010/2011 D,0.390,69.4,"9,247",56.2,14.4,45.1,36.7,33.1,30.2
Senegal,2005 D,0.436,71.1,"8,018",61.3,11.7,51.6,38.4,26.1,35.5
Serbia,2014 M,0.002,0.4,41,40.6,2.7,0.1,30.7,40.7,28.7
Serbia,2010 M,0.001,0.3,25,39.9,3.1,0.0,24.7,48.6,26.7
Serbia,2005/2006 M,0.011,3.0,296,38.3,3.8,0.3,18.1,60.1,21.8
Sierra Leone,2013 D,0.411,77.5,"4,724",53.0,14.6,43.9,25.7,28.5,45.9
Sierra Leone,2010 M,0.405,72.7,"4,180",55.8,16.7,46.4,24.2,28.3,47.4
Sierra Leone,2008 D,0.451,79.7,"4,409",56.6,12.5,51.7,32.0,22.7,45.3
South Africa,2012 N,0.041,10.3,"5,400",39.6,17.1,1.3,8.4,61.4,30.2
South Africa,2008 N,0.039,9.4,"4,701",41.5,21.4,1.4,13.4,45.6,41.1
Suriname,2010 M,0.033,7.6,40,43.1,4.7,2.0,31.0,37.2,31.8
Suriname,2006 M,0.044,9.2,46,47.4,6.3,3.6,36.7,21.1,42.2
Syrian Arab Republic,2009 N,0.028,7.2,"1,519",39.1,7.4,1.3,54.7,34.0,11.3
Syrian Arab Republic,2006 M,0.024,6.4,"1,197",38.0,7.7,0.9,44.4,43.1,12.5
Tajikistan,2012 D,0.031,7.9,629,39.0,23.4,1.2,13.4,52.6,34.0
Tajikistan,2005 M,0.059,14.7,"1,002",39.8,18.6,2.3,11.0,57.3,31.7
The former Yugoslav Republic of Macedonia,2011 M,0.007,1.7,36,38.4,2.4,0.1,18.5,57.2,24.3
The former Yugoslav Republic of Macedonia,2005 M,0.013,3.0,64,42.2,7.1,0.7,50.7,22.3,27.0
Togo,2013/2014 D,0.242,48.5,"3,394",49.9,19.9,23.2,26.4,28.8,44.9
Togo,2010 M,0.260,50.9,"3,207",51.2,20.3,26.4,28.9,25.0,46.1
Togo,2006 M,0.277,53.1,"3,021",52.2,20.3,28.8,31.4,23.2,45.4
Uganda,2011 D,0.359,70.3,"24,712",51.1,20.6,33.3,18.0,30.2,51.9
Uganda,2006 D,0.399,74.5,"22,131",53.6,18.2,41.5,17.1,30.4,52.5
Ukraine,2012 M,0.001,0.4,162,34.5,0.0,0.0,19.0,77.5,3.5
Ukraine,2007 D,0.002,0.6,264,34.3,0.2,0.0,1.0,95.1,3.8
Yemen,2013 D,0.200,40.0,"9,754",50.1,22.4,19.4,29.5,32.2,38.2
Yemen,2006 M,0.191,37.5,"7,741",50.9,16.7,18.4,33.4,21.3,45.3
Zambia,2013/2014 D,0.264,54.4,"8,173",48.6,23.1,22.5,17.9,29.8,52.3
Zambia,2007 D,0.318,62.8,"7,600",50.7,18.7,31.3,16.3,29.4,54.3
Zimbabwe,2014 M,0.128,28.9,"4,222",44.1,29.3,7.8,10.8,34.5,54.8
Zimbabwe,2010/2011 D,0.181,41.0,"5,482",44.1,24.9,12.2,7.8,37.9,54.3
Zimbabwe,2006 D,0.193,42.4,"5,399",45.4,22.8,15.7,11.5,29.6,58.9
,,,,,,,,,,


,,,,,,,,,,
















