Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,"Health expenditure per capita, PPP (constant 2011 international $)","Life expectancy at birth, total (years)"
Arab World,,1969,,,,51.9459457482557
Arab World,,1970,,,,52.4748194266862
Arab World,,1971,,,,53.0185649936988
Arab World,,1972,,,,53.5878270241579
Arab World,,1973,,,,54.1826238131044
Arab World,,1974,,,,54.797431640103
Arab World,,1975,,,,55.4221835559119
Arab World,,1976,,,,56.0450363029634
Arab World,,1977,,,,56.6563753712757
Arab World,,1978,,,,57.2554464644179
Arab World,,1979,,,,57.8514632690778
Arab World,,1980,,,,58.4562169369463
Arab World,,1981,,,,59.0821719571452
Arab World,,1982,,,,59.7335345794101
Arab World,,1983,,,,60.4044863062543
Arab World,,1984,,,,61.0805066991468
Arab World,,1985,,,,61.7399649070434
Arab World,,1986,,,,62.3615506124659
Arab World,,1987,,,,62.9307978780971
Arab World,,1988,,,,63.4397302116826
Arab World,,1989,,,,63.8893299394999
Arab World,,1990,,,,64.3226994663583
Arab World,,1991,,,,64.6903585209735
Arab World,,1992,,,,64.9841511295156
Arab World,,1993,,,,65.3450195372886
Arab World,,1994,,,,65.7100196318053
Arab World,,1995,,,291.04209615022,66.118141218678
Arab World,,1996,,,302.563796097764,66.4753491047707
Arab World,,1997,,,324.799811770399,66.8165535450604
Arab World,,1998,,,356.426796716031,67.1332679936668
Arab World,,1999,,,373.424779901354,67.4249911264263
Arab World,,2000,,,382.665594433442,67.6949397276557
Arab World,,2001,,,422.029088509898,67.9487321610337
Arab World,,2002,,,437.286628823573,68.1944834458595
Arab World,,2003,,,412.110688518767,68.4396355867533
Arab World,,2004,,,417.46736166098,68.6879445507359
Arab World,,2005,,,417.242471272661,68.9380580557627
Arab World,,2006,,,452.794634344027,69.1863650750761
Arab World,,2007,,,484.97671201216,69.424552198029
Arab World,,2008,,,497.737289272386,69.6469702814488
Arab World,,2009,,,640.271897263253,69.8514338976754
Arab World,,2010,,,595.940451177127,70.0410543466168
Arab World,,2011,,,626.264720536908,70.2238942443028
Arab World,,2012,,,709.025763111703,70.4080156937082
Arab World,,2013,,,762.087206783094,70.5982981596621
Arab World,,2014,,,813.09221206683,70.7939574698
Arab World,,2015,,,,70.9945414725089
Arab World,,2016,,,,71.198456370659
Asia,,-10000,914198,,,
Asia,,-9000,1557637,,,
Asia,,-8000,2415036,,,
Asia,,-7000,3791700,,,
Asia,,-6000,6142399,,,
Asia,,-5000,10296941,,,
Asia,,-4000,17179856,,,
Asia,,-3000,27662912,,,
Asia,,-2000,45947828,,,
Asia,,-1000,74546432,,,
Asia,,0,121526576,,,
Asia,,100,125047832,,,
Asia,,200,128691576,,,
Asia,,300,131674992,,,
Asia,,400,134818480,,,
Asia,,500,138098288,,,
Asia,,600,141597600,,,
Asia,,700,148147040,,,
Asia,,800,154876688,,,
Asia,,900,172793264,,,
Asia,,1000,188585408,,,
Asia,,1100,232217664,,,
Asia,,1200,250480640,,,
Asia,,1300,221290608,,,
Asia,,1400,229632560,,,
Asia,,1500,272967232,,,
Asia,,1600,364970688,,,
Asia,,1700,387623424,,,
Asia,,1710,409051776,,,
Asia,,1720,422732352,,,
Asia,,1730,428466816,,,
Asia,,1740,505257888,,,
Asia,,1750,555108352,,,
Asia,,1760,572221376,,,
Asia,,1770,585400128,,,
Asia,,1780,664648192,,,
Asia,,1790,690969280,,,
Asia,,1800,681367424,,,
Asia,,1810,737620992,,,
Asia,,1820,745255040,,,
Asia,,1830,785314368,,,
Asia,,1840,803598592,,,
Asia,,1850,822641088,,,
Asia,,1860,808465280,,,
Asia,,1870,810647552,,,
Asia,,1880,841132416,,,
Asia,,1890,894237952,,,
Asia,,1900,939401664,,,
Asia,,1910,968833152,,,
Asia,,1920,1052158080,,,
Asia,,1930,1137103232,,,
Asia,,1940,1259453312,,,
Asia,,1950,1404909056,,,
Asia,,1951,1435819008,,,
Asia,,1952,1464834048,,,
Asia,,1953,1492894976,,,
Asia,,1954,1520768000,,,
Asia,,1955,1549042048,,,
Asia,,1956,1578121984,,,
Asia,,1957,1608237056,,,
Asia,,1958,1639460992,,,
Asia,,1959,1671747968,,,
Asia,,1960,1705041024,,,
Asia,,1961,1739385984,,,
Asia,,1962,1775031040,,,
Asia,,1963,1812470016,,,
Asia,,1964,1852322944,,,
Asia,,1965,1894973952,,,
Asia,,1966,1940601984,,,
Asia,,1967,1988923008,,,
Asia,,1968,2039270016,,,
Asia,,1969,2090701952,,,
Asia,,1970,2142480000,,,
Asia,,1971,2194450944,,,
Asia,,1972,2246636032,,,
Asia,,1973,2298695936,,,
Asia,,1974,2350278912,,,
Asia,,1975,2401170944,,,
Asia,,1976,2451184128,,,
Asia,,1977,2500443904,,,
Asia,,1978,2549466112,,,
Asia,,1979,2598988032,,,
Asia,,1980,2649577984,,,
Asia,,1981,2701224960,,,
Asia,,1982,2753838080,,,
Asia,,1983,2807784960,,,
Asia,,1984,2863496960,,,
Asia,,1985,2921172992,,,
Asia,,1986,2981063936,,,
Asia,,1987,3042806016,,,
Asia,,1988,3105220096,,,
Asia,,1989,3166705920,,,
Asia,,1990,3226098944,,,
Asia,,1991,3282945024,,,
Asia,,1992,3337511936,,,
Asia,,1993,3390245120,,,
Asia,,1994,3441913088,,,
Asia,,1995,3493086976,,,
Asia,,1996,3543851008,,,
Asia,,1997,3594032896,,,
Asia,,1998,3643663104,,,
Asia,,1999,3692736000,,,
Asia,,2000,3741263104,,,
Asia,,2001,3789285120,,,
Asia,,2002,3836879872,,,
Asia,,2003,3884134912,,,
Asia,,2004,3931145984,,,
Asia,,2005,3977986048,,,
Asia,,2006,4024679936,,,
Asia,,2007,4071215104,,,
Asia,,2008,4117572096,,,
Asia,,2009,4163713024,,,
Asia,,2010,4209594112,,,
Asia,,2011,4255190016,,,
Asia,,2012,4300462080,,,
Asia,,2013,4345331200,,,
Asia,,2014,4389699072,,,
Asia,,2015,4433475072,,,
Asia,,2016,4476608000,,,
Asia,,2017,4519040000,,,
Asia,,2018,4560667136,,,
Asia,,2019,4601371136,,,
Caribbean small states,,1960,,,,62.3706910812823
Caribbean small states,,1961,,,,62.8691682619238
Caribbean small states,,1962,,,,63.3274499603986
Caribbean small states,,1963,,,,63.7421976228679
Caribbean small states,,1964,,,,64.1130719686138
Caribbean small states,,1965,,,,64.4423164070423
Caribbean small states,,1966,,,,64.7344510178994
Caribbean small states,,1967,,,,65.0001498572375
Caribbean small states,,1968,,,,65.2496466160626
Caribbean small states,,1969,,,,65.4923589356271
Caribbean small states,,1970,,,,65.7361876885542
Caribbean small states,,1971,,,,65.9869820558343
Caribbean small states,,1972,,,,66.2460019087522
Caribbean small states,,1973,,,,66.5121354249878
Caribbean small states,,1974,,,,66.7845499875848
Caribbean small states,,1975,,,,67.0607064732215
Caribbean small states,,1976,,,,67.3391089806256
Caribbean small states,,1977,,,,67.6130421276996
Caribbean small states,,1978,,,,67.8780096723734
Caribbean small states,,1979,,,,68.1306111337335
Caribbean small states,,1980,,,,68.3671201511666
Caribbean small states,,1981,,,,68.5811210261247
Caribbean small states,,1982,,,,68.7706587447895
Caribbean small states,,1983,,,,68.9370258053716
Caribbean small states,,1984,,,,69.075934978453
Caribbean small states,,1985,,,,69.1904428076949
Caribbean small states,,1986,,,,69.2841567620877
Caribbean small states,,1987,,,,69.3721585488571
Caribbean small states,,1988,,,,69.4353050126979
Caribbean small states,,1989,,,,69.501547397642
Caribbean small states,,1990,,,,69.563255509527
Caribbean small states,,1991,,,,69.6196864470342
Caribbean small states,,1992,,,,69.7066260367611
Caribbean small states,,1993,,,,69.7125215464098
Caribbean small states,,1994,,,,69.7562595758576
Caribbean small states,,1995,,,375.492639027219,69.8035021513076
Caribbean small states,,1996,,,398.206676048487,69.8577532468638
Caribbean small states,,1997,,,443.908657372553,69.9892964515165
Caribbean small states,,1998,,,435.905085930223,69.998787155399
Caribbean small states,,1999,,,437.500633020553,70.0909687808831
Caribbean small states,,2000,,,466.383474330623,70.2037685439382
Caribbean small states,,2001,,,475.284680091603,70.3412206530439
Caribbean small states,,2002,,,486.50485137263,70.5733907007662
Caribbean small states,,2003,,,524.8801971565,70.6873763948263
Caribbean small states,,2004,,,574.369353869573,70.8917401236704
Caribbean small states,,2005,,,588.737697957632,71.1130569511406
Caribbean small states,,2006,,,623.703736789737,71.3454059082784
Caribbean small states,,2007,,,710.707717275288,71.582385356307
Caribbean small states,,2008,,,722.593606958644,71.8165811915985
Caribbean small states,,2009,,,812.676482622814,72.0421471122722
Caribbean small states,,2010,,,756.667830942942,72.2523920321063
Caribbean small states,,2011,,,782.298709705145,72.4446318371778
Caribbean small states,,2012,,,868.347621141239,72.6191798536699
Caribbean small states,,2013,,,880.78254834993,72.7791798911218
Caribbean small states,,2014,,,883.298634931726,72.9261802778276
Caribbean small states,,2015,,,,73.0627324010547
Caribbean small states,,2016,,,,73.192408496541
Central Europe and the Baltics,,1960,,,,67.8213950012551
Central Europe and the Baltics,,1961,,,,68.2620441707347
Central Europe and the Baltics,,1962,,,,68.0067749982747
Central Europe and the Baltics,,1963,,,,68.6958697107938
Central Europe and the Baltics,,1964,,,,69.0522763699495
Central Europe and the Baltics,,1965,,,,69.2768215545454
Central Europe and the Baltics,,1966,,,,69.5270082283826
Central Europe and the Baltics,,1967,,,,69.2727354454573
Central Europe and the Baltics,,1968,,,,69.5360583547124
Central Europe and the Baltics,,1969,,,,69.2757976966873
Central Europe and the Baltics,,1970,,,,69.4469707974319
Central Europe and the Baltics,,1971,,,,69.4851289765543
Central Europe and the Baltics,,1972,,,,69.9253677297177
Central Europe and the Baltics,,1973,,,,70.0676966835781
Central Europe and the Baltics,,1974,,,,70.3058738691849
Central Europe and the Baltics,,1975,,,,70.1744054785437
Central Europe and the Baltics,,1976,,,,70.3191411063472
Central Europe and the Baltics,,1977,,,,70.2422408105389
Central Europe and the Baltics,,1978,,,,70.1478390004397
Central Europe and the Baltics,,1979,,,,70.2393548096729
Central Europe and the Baltics,,1980,,,,69.8902129226427
Central Europe and the Baltics,,1981,,,,70.3714695597192
Central Europe and the Baltics,,1982,,,,70.4551336661179
Central Europe and the Baltics,,1983,,,,70.3896109824106
Central Europe and the Baltics,,1984,,,,70.3490175773774
Central Europe and the Baltics,,1985,,,,70.3127569888511
Central Europe and the Baltics,,1986,,,,70.5649221254913
Central Europe and the Baltics,,1987,,,,70.6117653159951
Central Europe and the Baltics,,1988,,,,70.8617183748472
Central Europe and the Baltics,,1989,,,,70.7319696488415
Central Europe and the Baltics,,1990,,,,70.6563673229236
Central Europe and the Baltics,,1991,,,,70.572607738017
Central Europe and the Baltics,,1992,,,,70.7323478672471
Central Europe and the Baltics,,1993,,,,70.8462295706676
Central Europe and the Baltics,,1994,,,,70.8695267645831
Central Europe and the Baltics,,1995,,,435.864630507186,71.0258932341809
Central Europe and the Baltics,,1996,,,470.48794049054,71.3354652442541
Central Europe and the Baltics,,1997,,,490.180693050018,71.5175893276137
Central Europe and the Baltics,,1998,,,524.416460479898,71.8981182658969
Central Europe and the Baltics,,1999,,,551.606758386711,72.184734648016
Central Europe and the Baltics,,2000,,,582.074311341137,72.7196903521431
Central Europe and the Baltics,,2001,,,648.385602685402,73.0979928642325
Central Europe and the Baltics,,2002,,,729.041335486606,73.2443135682501
Central Europe and the Baltics,,2003,,,804.080962801371,73.3838286851526
Central Europe and the Baltics,,2004,,,868.230032253531,73.7394039227775
Central Europe and the Baltics,,2005,,,934.30245105026,73.8400466808689
Central Europe and the Baltics,,2006,,,1022.33532558423,74.0947247807245
Central Europe and the Baltics,,2007,,,1134.30009733337,74.2523833324924
Central Europe and the Baltics,,2008,,,1295.41234523935,74.57753902187
Central Europe and the Baltics,,2009,,,1390.68964451471,74.9318257000873
Central Europe and the Baltics,,2010,,,1436.76412710228,75.2953487288
Central Europe and the Baltics,,2011,,,1485.84010069987,75.8884748834282
Central Europe and the Baltics,,2012,,,1522.72102710268,75.993488603453
Central Europe and the Baltics,,2013,,,1549.20101669981,76.3551629869808
Central Europe and the Baltics,,2014,,,1597.92798139805,76.6854764213554
Central Europe and the Baltics,,2015,,,,76.5910702431929
Central Europe and the Baltics,,2016,,,,76.603130126638
Early-demographic dividend,,1960,,,,45.2114230432004
Early-demographic dividend,,1961,,,,45.88000090008
Early-demographic dividend,,1962,,,,46.4885440384438
Early-demographic dividend,,1963,,,,47.0370110275332
Early-demographic dividend,,1964,,,,47.639740182784
Early-demographic dividend,,1965,,,,48.234912513464
Early-demographic dividend,,1966,,,,48.8724505810374
Early-demographic dividend,,1967,,,,49.4369514866814
Early-demographic dividend,,1968,,,,49.9829527780866
Early-demographic dividend,,1969,,,,50.5140605315651
Early-demographic dividend,,1970,,,,51.0366907770491
Early-demographic dividend,,1971,,,,51.5589820988614
Early-demographic dividend,,1972,,,,52.084362318313
Early-demographic dividend,,1973,,,,52.6234366104411
Early-demographic dividend,,1974,,,,53.1695720214242
Early-demographic dividend,,1975,,,,53.7221049704523
Early-demographic dividend,,1976,,,,54.2744223183513
Early-demographic dividend,,1977,,,,54.814186878577
Early-demographic dividend,,1978,,,,55.3349041574042
Early-demographic dividend,,1979,,,,55.8300462786129
Early-demographic dividend,,1980,,,,56.2976893473926
Early-demographic dividend,,1981,,,,56.7418264099023
Early-demographic dividend,,1982,,,,57.1707146625059
Early-demographic dividend,,1983,,,,57.596124393676
Early-demographic dividend,,1984,,,,58.0220155936784
Early-demographic dividend,,1985,,,,58.4508680488401
Early-demographic dividend,,1986,,,,58.8816049143902
Early-demographic dividend,,1987,,,,59.3131703909029
Early-demographic dividend,,1988,,,,59.7399001411739
Early-demographic dividend,,1989,,,,60.1700781303914
Early-demographic dividend,,1990,,,,60.6035281731166
Early-demographic dividend,,1991,,,,61.0318788999096
Early-demographic dividend,,1992,,,,61.4601030762819
Early-demographic dividend,,1993,,,,61.8878789528298
Early-demographic dividend,,1994,,,,62.3073631024462
Early-demographic dividend,,1995,,,132.866762110421,62.7128503600185
Early-demographic dividend,,1996,,,137.962251442783,63.1020010376621
Early-demographic dividend,,1997,,,149.087002360784,63.4702522774409
Early-demographic dividend,,1998,,,157.702961305782,63.8220917794208
Early-demographic dividend,,1999,,,167.199043582369,64.160159810991
Early-demographic dividend,,2000,,,175.96412388571,64.4860730448729
Early-demographic dividend,,2001,,,189.717154354168,64.8062736240023
Early-demographic dividend,,2002,,,193.123309225857,65.1247881341541
Early-demographic dividend,,2003,,,204.387326055192,65.4481229286196
Early-demographic dividend,,2004,,,217.652854072628,65.7804328845503
Early-demographic dividend,,2005,,,239.931516094597,66.1228608395386
Early-demographic dividend,,2006,,,259.846931360576,66.4795137928266
Early-demographic dividend,,2007,,,282.274488396555,66.8453227814686
Early-demographic dividend,,2008,,,296.089875056788,67.2173836075783
Early-demographic dividend,,2009,,,327.915299764417,67.5901777188973
Early-demographic dividend,,2010,,,337.734828046267,67.9557324425197
Early-demographic dividend,,2011,,,351.524353879535,68.3081043461813
Early-demographic dividend,,2012,,,370.445835491554,68.6427759351782
Early-demographic dividend,,2013,,,390.737426222546,68.9576575246554
Early-demographic dividend,,2014,,,416.101540892453,69.2486396460121
Early-demographic dividend,,2015,,,,69.5169409710616
Early-demographic dividend,,2016,,,,69.7662711291935
East Asia & Pacific,,1960,,,,48.4552640139166
East Asia & Pacific,,1961,,,,48.9884654158502
East Asia & Pacific,,1962,,,,49.662245525374
East Asia & Pacific,,1963,,,,50.641340451066
East Asia & Pacific,,1964,,,,51.8425436268996
East Asia & Pacific,,1965,,,,53.2155625097082
East Asia & Pacific,,1966,,,,54.7521461201069
East Asia & Pacific,,1967,,,,56.2427580998421
East Asia & Pacific,,1968,,,,57.6179022580812
East Asia & Pacific,,1969,,,,58.8570576027628
East Asia & Pacific,,1970,,,,59.9089070965427
East Asia & Pacific,,1971,,,,60.8283542094542
East Asia & Pacific,,1972,,,,61.6220098919438
East Asia & Pacific,,1973,,,,62.3191791621831
East Asia & Pacific,,1974,,,,63.0197288275235
East Asia & Pacific,,1975,,,,63.690857172818
East Asia & Pacific,,1976,,,,64.3011023258151
East Asia & Pacific,,1977,,,,64.8842963825098
East Asia & Pacific,,1978,,,,65.4068036289471
East Asia & Pacific,,1979,,,,65.8975012640274
East Asia & Pacific,,1980,,,,66.309531538611
East Asia & Pacific,,1981,,,,66.723914999452
East Asia & Pacific,,1982,,,,67.1126717494892
East Asia & Pacific,,1983,,,,67.4281612698751
East Asia & Pacific,,1984,,,,67.7553971939424
East Asia & Pacific,,1985,,,,68.0414387466691
East Asia & Pacific,,1986,,,,68.3121182724063
East Asia & Pacific,,1987,,,,68.5578757360958
East Asia & Pacific,,1988,,,,68.7446944991245
East Asia & Pacific,,1989,,,,68.9543661821556
East Asia & Pacific,,1990,,,,69.1299358123777
East Asia & Pacific,,1991,,,,69.3161176451294
East Asia & Pacific,,1992,,,,69.4752973116647
East Asia & Pacific,,1993,,,,69.6508452446988
East Asia & Pacific,,1994,,,,69.8496122110574
East Asia & Pacific,,1995,,,202.266039211172,70.0275429856225
East Asia & Pacific,,1996,,,217.383276111199,70.3037064750155
East Asia & Pacific,,1997,,,234.990989997158,70.5849645434091
East Asia & Pacific,,1998,,,245.640775907841,70.8815161721325
East Asia & Pacific,,1999,,,264.837869428404,71.2018842162962
East Asia & Pacific,,2000,,,287.380728801914,71.5790095318242
East Asia & Pacific,,2001,,,307.224941274069,71.9521541854592
East Asia & Pacific,,2002,,,331.879425741627,72.3032306985278
East Asia & Pacific,,2003,,,359.942109869698,72.6413387994024
East Asia & Pacific,,2004,,,385.205834870989,72.9632426457228
East Asia & Pacific,,2005,,,421.52734729238,73.2337762134081
East Asia & Pacific,,2006,,,458.563695454973,73.5158126814504
East Asia & Pacific,,2007,,,498.059058184535,73.7610119967372
East Asia & Pacific,,2008,,,546.758906258266,73.9808397352339
East Asia & Pacific,,2009,,,611.936199350864,74.2072639953092
East Asia & Pacific,,2010,,,650.553504773416,74.3839146463837
East Asia & Pacific,,2011,,,711.592393215025,74.5460644618497
East Asia & Pacific,,2012,,,779.826184227516,74.7411842008234
East Asia & Pacific,,2013,,,835.320046613378,74.9190715423245
East Asia & Pacific,,2014,,,892.776547315487,75.0860081183076
East Asia & Pacific,,2015,,,,75.2489157797135
East Asia & Pacific,,2016,,,,75.3957316449765
East Asia & Pacific (IDA & IBRD),,1960,,,,45.6524961200247
East Asia & Pacific (IDA & IBRD),,1961,,,,46.10009700634
East Asia & Pacific (IDA & IBRD),,1962,,,,46.8249529312271
East Asia & Pacific (IDA & IBRD),,1963,,,,47.8630791342719
East Asia & Pacific (IDA & IBRD),,1964,,,,49.2196030834705
East Asia & Pacific (IDA & IBRD),,1965,,,,50.8161339402075
East Asia & Pacific (IDA & IBRD),,1966,,,,52.5355163116072
East Asia & Pacific (IDA & IBRD),,1967,,,,54.2427071959204
East Asia & Pacific (IDA & IBRD),,1968,,,,55.8172724233739
East Asia & Pacific (IDA & IBRD),,1969,,,,57.2023957859953
East Asia & Pacific (IDA & IBRD),,1970,,,,58.3727668142994
East Asia & Pacific (IDA & IBRD),,1971,,,,59.345565485865
East Asia & Pacific (IDA & IBRD),,1972,,,,60.1905366059175
East Asia & Pacific (IDA & IBRD),,1973,,,,60.9684220158912
East Asia & Pacific (IDA & IBRD),,1974,,,,61.6976455526288
East Asia & Pacific (IDA & IBRD),,1975,,,,62.3890240046437
East Asia & Pacific (IDA & IBRD),,1976,,,,63.0488784809751
East Asia & Pacific (IDA & IBRD),,1977,,,,63.6683004055511
East Asia & Pacific (IDA & IBRD),,1978,,,,64.2416492031974
East Asia & Pacific (IDA & IBRD),,1979,,,,64.7681202704443
East Asia & Pacific (IDA & IBRD),,1980,,,,65.2455542842585
East Asia & Pacific (IDA & IBRD),,1981,,,,65.6754359479168
East Asia & Pacific (IDA & IBRD),,1982,,,,66.0639614901429
East Asia & Pacific (IDA & IBRD),,1983,,,,66.4135302891136
East Asia & Pacific (IDA & IBRD),,1984,,,,66.7304069503107
East Asia & Pacific (IDA & IBRD),,1985,,,,67.0167176145039
East Asia & Pacific (IDA & IBRD),,1986,,,,67.2753758600342
East Asia & Pacific (IDA & IBRD),,1987,,,,67.5072407118304
East Asia & Pacific (IDA & IBRD),,1988,,,,67.7164424239272
East Asia & Pacific (IDA & IBRD),,1989,,,,67.9094305534932
East Asia & Pacific (IDA & IBRD),,1990,,,,68.0923293172128
East Asia & Pacific (IDA & IBRD),,1991,,,,68.2706815145282
East Asia & Pacific (IDA & IBRD),,1992,,,,68.4498213298773
East Asia & Pacific (IDA & IBRD),,1993,,,,68.6367123429934
East Asia & Pacific (IDA & IBRD),,1994,,,,68.8392899724508
East Asia & Pacific (IDA & IBRD),,1995,,,76.2899520810439,69.0669979931216
East Asia & Pacific (IDA & IBRD),,1996,,,88.4557504343625,69.3291428057192
East Asia & Pacific (IDA & IBRD),,1997,,,98.8540823006725,69.6236676045002
East Asia & Pacific (IDA & IBRD),,1998,,,106.596484994927,69.9489198283909
East Asia & Pacific (IDA & IBRD),,1999,,,117.320280968938,70.2973143443016
East Asia & Pacific (IDA & IBRD),,2000,,,128.786590858906,70.662426224485
East Asia & Pacific (IDA & IBRD),,2001,,,140.756605814328,71.0341380754328
East Asia & Pacific (IDA & IBRD),,2002,,,159.324052291028,71.399436899226
East Asia & Pacific (IDA & IBRD),,2003,,,180.026455255226,71.7488744213025
East Asia & Pacific (IDA & IBRD),,2004,,,195.682747843025,72.0759588694577
East Asia & Pacific (IDA & IBRD),,2005,,,221.69504910374,72.3755705163525
East Asia & Pacific (IDA & IBRD),,2006,,,247.641979381155,72.6468109886706
East Asia & Pacific (IDA & IBRD),,2007,,,275.825524982398,72.894350669698
East Asia & Pacific (IDA & IBRD),,2008,,,314.845665980895,73.1234997434121
East Asia & Pacific (IDA & IBRD),,2009,,,370.883304235731,73.3356359984053
East Asia & Pacific (IDA & IBRD),,2010,,,395.26033564097,73.5318739586159
East Asia & Pacific (IDA & IBRD),,2011,,,444.266898917087,73.7153837228985
East Asia & Pacific (IDA & IBRD),,2012,,,505.736876017685,73.888692613335
East Asia & Pacific (IDA & IBRD),,2013,,,556.451909534313,74.0534307804421
East Asia & Pacific (IDA & IBRD),,2014,,,613.944515783964,74.2139076788084
East Asia & Pacific (IDA & IBRD),,2015,,,,74.3710640140637
East Asia & Pacific (IDA & IBRD),,2016,,,,74.5276559956051
East Asia & Pacific (excluding high income),,1960,,,,45.7246328287819
East Asia & Pacific (excluding high income),,1961,,,,46.1728710193706
East Asia & Pacific (excluding high income),,1962,,,,46.8938054373315
East Asia & Pacific (excluding high income),,1963,,,,47.9247573083867
East Asia & Pacific (excluding high income),,1964,,,,49.2727307302297
East Asia & Pacific (excluding high income),,1965,,,,50.8604930215837
East Asia & Pacific (excluding high income),,1966,,,,52.5717041039774
East Asia & Pacific (excluding high income),,1967,,,,54.2717841103696
East Asia & Pacific (excluding high income),,1968,,,,55.8405546848831
East Asia & Pacific (excluding high income),,1969,,,,57.2214721688488
East Asia & Pacific (excluding high income),,1970,,,,58.3893359716109
East Asia & Pacific (excluding high income),,1971,,,,59.3611065446416
East Asia & Pacific (excluding high income),,1972,,,,60.2059083010161
East Asia & Pacific (excluding high income),,1973,,,,60.983869511103
East Asia & Pacific (excluding high income),,1974,,,,61.7131825652796
East Asia & Pacific (excluding high income),,1975,,,,62.4044621294699
East Asia & Pacific (excluding high income),,1976,,,,63.0638827717046
East Asia & Pacific (excluding high income),,1977,,,,63.6826419272523
East Asia & Pacific (excluding high income),,1978,,,,64.2552363611498
East Asia & Pacific (excluding high income),,1979,,,,64.7809151678146
