Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,"Health expenditure per capita, PPP (constant 2011 international $)","Life expectancy at birth, total (years)",Region And Year,,Year,"Total population (Gapminder, HYDE & UN)",Continent,"GDP per capita, PPP (constant 2011 international $)",Diabetes prevalence (% of population ages 20 to 79),,,,,,,,,,,,,Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,"GDP per capita, PPP (constant 2011 international $)",Diabetes prevalence (% of population ages 20 to 79),Region and year
Africa,,1840,98188272,,,,Africa1840,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1840,98188272,,,,Africa1840
Africa,,1850,102932088,,,,Africa1850,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1850,102932088,,,,Africa1850
Africa,,1860,107457472,,,,Africa1860,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1860,107457472,,,,Africa1860
Africa,,1870,114300952,,,,Africa1870,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1870,114300952,,,,Africa1870
Africa,,1880,122176248,,,,Africa1880,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1880,122176248,,,,Africa1880
Africa,,1890,131305600,,,,Africa1890,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1890,131305600,,,,Africa1890
Africa,,1900,140754896,,,,Africa1900,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1900,140754896,,,,Africa1900
Africa,,1910,150280992,,,,Africa1910,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1910,150280992,,,,Africa1910
Africa,,1920,164856080,,,,Africa1920,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1920,164856080,,,,Africa1920
Africa,,1930,181280496,,,,Africa1930,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1930,181280496,,,,Africa1930
Africa,,1940,200894592,,,,Africa1940,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1940,200894592,,,,Africa1940
Africa,,1950,227794000,,,,Africa1950,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1950,227794000,,,,Africa1950
Africa,,1951,232328000,,,,Africa1951,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1951,232328000,,,,Africa1951
Africa,,1952,237096992,,,,Africa1952,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1952,237096992,,,,Africa1952
Africa,,1953,242092000,,,,Africa1953,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1953,242092000,,,,Africa1953
Africa,,1954,247311008,,,,Africa1954,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1954,247311008,,,,Africa1954
Africa,,1955,252748992,,,,Africa1955,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1955,252748992,,,,Africa1955
Africa,,1956,258408000,,,,Africa1956,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1956,258408000,,,,Africa1956
Africa,,1957,264292000,,,,Africa1957,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1957,264292000,,,,Africa1957
Africa,,1958,270407008,,,,Africa1958,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1958,270407008,,,,Africa1958
Africa,,1959,276760992,,,,Africa1959,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1959,276760992,,,,Africa1959
Africa,,1960,283360992,,,,Africa1960,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1960,283360992,,,,Africa1960
Africa,,1961,290214016,,,,Africa1961,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1961,290214016,,,,Africa1961
Africa,,1962,297323008,,,,Africa1962,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1962,297323008,,,,Africa1962
Africa,,1963,304683008,,,,Africa1963,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1963,304683008,,,,Africa1963
Africa,,1964,312292000,,,,Africa1964,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1964,312292000,,,,Africa1964
Africa,,1965,320147008,,,,Africa1965,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1965,320147008,,,,Africa1965
Africa,,1966,328256992,,,,Africa1966,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1966,328256992,,,,Africa1966
Africa,,1967,336631008,,,,Africa1967,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1967,336631008,,,,Africa1967
Africa,,1968,345280000,,,,Africa1968,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1968,345280000,,,,Africa1968
Africa,,1969,354215008,,,,Africa1969,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1969,354215008,,,,Africa1969
Africa,,1970,363448000,,,,Africa1970,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1970,363448000,,,,Africa1970
Africa,,1971,372984000,,,,Africa1971,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1971,372984000,,,,Africa1971
Africa,,1972,382838016,,,,Africa1972,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1972,382838016,,,,Africa1972
Africa,,1973,393044000,,,,Africa1973,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1973,393044000,,,,Africa1973
Africa,,1974,403646016,,,,Africa1974,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1974,403646016,,,,Africa1974
Africa,,1975,414675008,,,,Africa1975,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1975,414675008,,,,Africa1975
Africa,,1976,426144000,,,,Africa1976,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1976,426144000,,,,Africa1976
Africa,,1977,438055008,,,,Africa1977,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1977,438055008,,,,Africa1977
Africa,,1978,450404000,,,,Africa1978,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1978,450404000,,,,Africa1978
Africa,,1979,463184000,,,,Africa1979,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1979,463184000,,,,Africa1979
Africa,,1980,476385984,,,,Africa1980,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1980,476385984,,,,Africa1980
Africa,,1981,490004000,,,,Africa1981,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1981,490004000,,,,Africa1981
Africa,,1982,504033984,,,,Africa1982,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1982,504033984,,,,Africa1982
Africa,,1983,518480000,,,,Africa1983,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1983,518480000,,,,Africa1983
Africa,,1984,533344992,,,,Africa1984,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1984,533344992,,,,Africa1984
Africa,,1985,548625984,,,,Africa1985,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1985,548625984,,,,Africa1985
Africa,,1986,564326976,,,,Africa1986,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1986,564326976,,,,Africa1986
Africa,,1987,580424000,,,,Africa1987,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1987,580424000,,,,Africa1987
Africa,,1988,596849024,,,,Africa1988,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1988,596849024,,,,Africa1988
Africa,,1989,613512000,,,,Africa1989,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1989,613512000,,,,Africa1989
Africa,,1990,630350016,,,,Africa1990,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1990,630350016,,,,Africa1990
Africa,,1991,647344000,,,,Africa1991,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1991,647344000,,,,Africa1991
Africa,,1992,664512000,,,,Africa1992,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1992,664512000,,,,Africa1992
Africa,,1993,681868992,,,,Africa1993,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1993,681868992,,,,Africa1993
Africa,,1994,699444992,,,,Africa1994,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1994,699444992,,,,Africa1994
Africa,,1995,717270016,,,,Africa1995,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1995,717270016,,,,Africa1995
Africa,,1996,735361024,,,,Africa1996,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1996,735361024,,,,Africa1996
Africa,,1997,753737984,,,,Africa1997,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1997,753737984,,,,Africa1997
Africa,,1998,772436992,,,,Africa1998,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1998,772436992,,,,Africa1998
Africa,,1999,791504000,,,,Africa1999,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1999,791504000,,,,Africa1999
Africa,,2000,810984000,,,,Africa2000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2000,810984000,,,,Africa2000
Africa,,2001,830902976,,,,Africa2001,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2001,830902976,,,,Africa2001
Africa,,2002,851297984,,,,Africa2002,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2002,851297984,,,,Africa2002
Africa,,2003,872248000,,,,Africa2003,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2003,872248000,,,,Africa2003
Africa,,2004,893843008,,,,Africa2004,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2004,893843008,,,,Africa2004
Africa,,2005,916153984,,,,Africa2005,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2005,916153984,,,,Africa2005
Africa,,2006,939209984,,,,Africa2006,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2006,939209984,,,,Africa2006
Africa,,2007,963022016,,,,Africa2007,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2007,963022016,,,,Africa2007
Africa,,2008,987624000,,,,Africa2008,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2008,987624000,,,,Africa2008
Africa,,2009,1013046016,,,,Africa2009,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2009,1013046016,,,,Africa2009
Africa,,2010,1039304000,,,,Africa2010,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2010,1039304000,,,,Africa2010
Africa,,2011,1066409984,,,,Africa2011,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2011,1066409984,,,,Africa2011
Africa,,2012,1094343040,,,,Africa2012,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2012,1094343040,,,,Africa2012
Africa,,2013,1123044992,,,,Africa2013,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2013,1123044992,,,,Africa2013
Africa,,2014,1152434048,,,,Africa2014,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2014,1152434048,,,,Africa2014
Africa,,2015,1182439040,,,,Africa2015,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2015,1182439040,,,,Africa2015
Africa,,2016,1213041024,,,,Africa2016,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2016,1213041024,,,,Africa2016
Africa,,2017,1244221952,,,,Africa2017,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2017,1244221952,,,,Africa2017
Africa,,2018,1275921024,,,,Africa2018,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2018,1275921024,,,,Africa2018
Africa,,2019,1308064000,,,,Africa2019,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,2019,1308064000,,,,Africa2019
Arab World,,1960,,,,46.825064996761,Arab World1960,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1990,,,10450.2085420709,,Arab World1990
Arab World,,1961,,,,47.4076991023794,Arab World1961,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1991,,,10206.6986340068,,Arab World1991
Arab World,,1962,,,,47.9888783365182,Arab World1962,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1992,,,10523.1405636913,,Arab World1992
Arab World,,1963,,,,48.5722294115442,Arab World1963,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1993,,,10567.040514119,,Arab World1993
Arab World,,1964,,,,49.1591674208195,Arab World1964,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1994,,,10611.0686328752,,Arab World1994
Arab World,,1965,,,,49.7443378740763,Arab World1965,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1995,,,10574.040225005,,Arab World1995
Arab World,,1966,,,,50.318999986414,Arab World1966,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1996,,,10809.8898652992,,Arab World1996
Arab World,,1967,,,,50.8764612861687,Arab World1967,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1997,,,11027.7425357306,,Arab World1997
Arab World,,1968,,,,51.4168697106976,Arab World1968,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1998,,,11406.9085329508,,Arab World1998
Arab World,,1969,,,,51.9459457482557,Arab World1969,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,1999,,,11436.0178841868,,Arab World1999
Arab World,,1970,,,,52.4748194266862,Arab World1970,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2000,,,11768.4724519229,,Arab World2000
Arab World,,1971,,,,53.0185649936988,Arab World1971,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2001,,,11729.4147061829,,Arab World2001
Arab World,,1972,,,,53.5878270241579,Arab World1972,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2002,,,11550.8304258836,,Arab World2002
Arab World,,1973,,,,54.1826238131044,Arab World1973,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2003,,,11806.8696205854,,Arab World2003
Arab World,,1974,,,,54.797431640103,Arab World1974,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2004,,,12611.064159323,,Arab World2004
Arab World,,1975,,,,55.4221835559119,Arab World1975,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2005,,,13021.910851879,,Arab World2005
Arab World,,1976,,,,56.0450363029634,Arab World1976,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2006,,,13501.9249324909,,Arab World2006
Arab World,,1977,,,,56.6563753712757,Arab World1977,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2007,,,13778.1619593724,,Arab World2007
Arab World,,1978,,,,57.2554464644179,Arab World1978,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2008,,,14232.6911805521,,Arab World2008
Arab World,,1979,,,,57.8514632690778,Arab World1979,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2009,,,14025.5086414544,,Arab World2009
Arab World,,1980,,,,58.4562169369463,Arab World1980,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2010,,,14354.3799160635,,Arab World2010
Arab World,,1981,,,,59.0821719571452,Arab World1981,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2011,,,14444.8779242408,,Arab World2011
Arab World,,1982,,,,59.7335345794101,Arab World1982,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2012,,,15056.3167657386,,Arab World2012
Arab World,,1983,,,,60.4044863062543,Arab World1983,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2013,,,15174.1017030436,,Arab World2013
Arab World,,1984,,,,61.0805066991468,Arab World1984,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2014,,,15199.008915234,,Arab World2014
Arab World,,1985,,,,61.7399649070434,Arab World1985,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2015,,,15342.7664815432,,Arab World2015
Arab World,,1986,,,,62.3615506124659,Arab World1986,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2016,,,15500.530522791,,Arab World2016
Arab World,,1987,,,,62.9307978780971,Arab World1987,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Arab World,,2017,,,15413.7919982717,12.0770204182209,Arab World2017
Arab World,,1988,,,,63.4397302116826,Arab World1988,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-10000,914198,,,,Asia-10000
Arab World,,1989,,,,63.8893299394999,Arab World1989,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-9000,1557637,,,,Asia-9000
Arab World,,1990,,,,64.3226994663583,Arab World1990,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-8000,2415036,,,,Asia-8000
Arab World,,1991,,,,64.6903585209735,Arab World1991,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-7000,3791700,,,,Asia-7000
Arab World,,1992,,,,64.9841511295156,Arab World1992,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-6000,6142399,,,,Asia-6000
Arab World,,1993,,,,65.3450195372886,Arab World1993,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-5000,10296941,,,,Asia-5000
Arab World,,1994,,,,65.7100196318053,Arab World1994,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-4000,17179856,,,,Asia-4000
Arab World,,1995,,,291.04209615022,66.118141218678,Arab World1995,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-3000,27662912,,,,Asia-3000
Arab World,,1996,,,302.563796097764,66.4753491047707,Arab World1996,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-2000,45947828,,,,Asia-2000
Arab World,,1997,,,324.799811770399,66.8165535450604,Arab World1997,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,-1000,74546432,,,,Asia-1000
Arab World,,1998,,,356.426796716031,67.1332679936668,Arab World1998,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,0,121526576,,,,Asia0
Arab World,,1999,,,373.424779901354,67.4249911264263,Arab World1999,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,100,125047832,,,,Asia100
Arab World,,2000,,,382.665594433442,67.6949397276557,Arab World2000,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,200,128691576,,,,Asia200
Arab World,,2001,,,422.029088509898,67.9487321610337,Arab World2001,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,300,131674992,,,,Asia300
Arab World,,2002,,,437.286628823573,68.1944834458595,Arab World2002,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,400,134818480,,,,Asia400
Arab World,,2003,,,412.110688518767,68.4396355867533,Arab World2003,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,500,138098288,,,,Asia500
Arab World,,2004,,,417.46736166098,68.6879445507359,Arab World2004,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,600,141597600,,,,Asia600
Arab World,,2005,,,417.242471272661,68.9380580557627,Arab World2005,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,700,148147040,,,,Asia700
Arab World,,2006,,,452.794634344027,69.1863650750761,Arab World2006,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,800,154876688,,,,Asia800
Arab World,,2007,,,484.97671201216,69.424552198029,Arab World2007,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,900,172793264,,,,Asia900
Arab World,,2008,,,497.737289272386,69.6469702814488,Arab World2008,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1000,188585408,,,,Asia1000
Arab World,,2009,,,640.271897263253,69.8514338976754,Arab World2009,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1100,232217664,,,,Asia1100
Arab World,,2010,,,595.940451177127,70.0410543466168,Arab World2010,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1200,250480640,,,,Asia1200
Arab World,,2011,,,626.264720536908,70.2238942443028,Arab World2011,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1300,221290608,,,,Asia1300
Arab World,,2012,,,709.025763111703,70.4080156937082,Arab World2012,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1400,229632560,,,,Asia1400
Arab World,,2013,,,762.087206783094,70.5982981596621,Arab World2013,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1500,272967232,,,,Asia1500
Arab World,,2014,,,813.09221206683,70.7939574698,Arab World2014,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1600,364970688,,,,Asia1600
Arab World,,2015,,,,70.9945414725089,Arab World2015,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1700,387623424,,,,Asia1700
Arab World,,2016,,,,71.198456370659,Arab World2016,,2017,,,15413.7919982717,12.0770204182209,,,,,,,,,,,,,Asia,,1710,409051776,,,,Asia1710
Asia,,-10000,914198,,,,Asia-10000,,2019,4601371136,,,,,,,,,,,,,,,,Asia,,1720,422732352,,,,Asia1720
Asia,,-9000,1557637,,,,Asia-9000,,2019,4601371136,,,,,,,,,,,,,,,,Asia,,1730,428466816,,,,Asia1730
Asia,,-8000,2415036,,,,Asia-8000,,2019,4601371136,,,,,,,,,,,,,,,,Asia,,1740,505257888,,,,Asia1740
Asia,,-7000,3791700,,,,Asia-7000,,2019,4601371136,,,,,,,,,,,,,,,,Asia,,1750,555108352,,,,Asia1750
Asia,,-6000,6142399,,,,Asia-6000,,2019,4601371136,,,,,,,,,,,,,,,,Asia,,1760,572221376,,,,Asia1760
Asia,,-5000,10296941,,,,Asia-5000,,2019,4601371136,,,,,,,,,,,,,,,,Asia,,1770,585400128,,,,Asia1770
Asia,,-4000,17179856,,,,Asia-4000,,2019,4601371136,,,,,,,,,,,,,,,,Asia,,1780,664648192,,,,Asia1780
